exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
1	priyome	public-education	1r1n1rk1/b1p1qppp/p2p1n2/4pP2/P3P3/2PPNB2/6PP/R1BQK2R w KQ - 0 1	white	g4 Nd7 h4 c6 g5 f6 Ng4	g2g4 f6d7 h2h4 c7c6 g4g5 f7f6 e3g4	16.g4!± Launching an attack. 16.0-0 was played in the game, but White should be happy that the king is still on e1. A plausible continuation: 16...Nd7 17.h4 c6 Stopping Nd5. 18.g5 f6 White continues with g5-g6 or Ng4, Ra2-g2 and h4-h5.	Steinitz	Robey	London	1862	Steinitz – Robey, London 1862	30	30
2	priyome	public-education	r2q1rk1/pbpnnpbp/1p1pp1p1/8/3PPP2/2NBB3/PPPQN1PP/R4RK1 w - - 0 1	white	f5 d5 Bg5 Bh6	f4f5 d6d5 e3g5 g7h6	10.f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the remaining pieces on d3, c3 and a1. It can hardly be better! If White does not push immediately, Black can play 10...d5 and it will be too late. 10...exf5 Otherwise Black would get a weak e-pawn after fxe6. 11.exf5± White continues with Bg5 or Bh6, playing on the kingside.	Steinitz	Blackburne	London (1)	1862	Steinitz – Blackburne, London (1) 1862	31	31
3	priyome	public-education	r3r1k1/ppq1bppp/2ppnn2/4p3/4PP2/2PP2PP/PPB1Q3/RNB2RK1 w - - 0 1	white	f5 g6 g4 h6 h4 Nh7 g5 hxg5 Kh1	f4f5 g7g6 g3g4 h7h6 h3h4 f6h7 g4g5 h6g5 g1h1	14.f5! Steinitz played 14.Nd2 which allows 14...exf4 15.gxf4 g6, when the open centre (rook against queen!) gives Black some counterplay. 14...Nc5 Since the centre is closed, White obtains a dangerous attack by advancing the g-pawn. In the event of 14...Nf8 15.g4 h6 a possibility that might be worth remembering is: 16.h4 (The simple 16.Nd2± is also good.) 16...N6h7 A standard defence. 17.g5 hxg5 18.Kh1!ƒ With Rg1 coming next.	Steinitz	MacDonnell	Dublin	1865	Steinitz – MacDonnell, Dublin 1865	31	31
4	priyome	public-education	r1bqk2r/3n1ppp/p3p3/1pbpP3/5P2/3n1N2/PPPBQ1PP/R2NK2R w KQkq - 0 1	white	cxd3 d4 b4 a5 Nf2	c2d3 d5d4 b2b4 a6a5 d1f2	12.cxd3! This improves White’s structure since: a) It controls the c4- and e4-squares (the main point) b) White can use the open c-file c) Black can’t use his queenside pawns to open files (not relevant in this game) d) The pawn can advance to d4 e) It closes the a6-f1-diagonal. “It may seem strange to attach an exclamation mark to a move which today would be automatically made by any candidate master,” wrote Kasparov in the book series on his predecessors. “But then, in 1885, the consequences of the pawn capture were by no means obvious, and the majority of players were simply unable to think long-term.” According to Kasparov, Black had to play 12...b4 followed by ...a6-a5 and ...Ba6. 12...a5 has the same idea. 12...d4 opens the long diagonal for the light-squared bishop, but also gives up the e4-square. 13.Nf2²	Steinitz	Sellman	Baltimore	1885	Steinitz – Sellman, Baltimore 1885	32	32
5	priyome	public-education	r1r3k1/3bbppp/pqn1pn2/1p6/3P1B2/1BN2N2/PP2QPPP/R3R1K1 w - - 0 1	white	d5 exd5 Nxd5 Nxd5 Bxd5 Bf6 Rad1 Rf8 Be4 Rad8 Qc2	d4d5 e6d5 c3d5 f6d5 b3d5 e7f6 a1d1 c8f8 d5e4 a8d8 e2c2	17.d5! A standard isolated queen’s pawn position. Pushing and exchanging the pawn is usually favourable, as White’s pieces are more actively placed. Zukertort missed this opportunity by playing 17.Red1?, which takes us to the next exercise. 17...exd5 18.Nxd5 Nxd5 19.Bxd5 Bf6 20.Rad1 Rf8 21.Be4 All White’s pieces are on excellent squares and Black has no good defence. For instance, 21...Rad8 22.Qc2 with a double threat – or triple if you count Rd6.	Zukertort	Steinitz	USA (13)	1886	Zukertort – Steinitz, USA (13) 1886	33	33
6	priyome	public-education	r1r3k1/3bbppp/pqn1pn2/1p6/3P1B2/1BN2N2/PP2QPPP/R2R2K1 b - - 0 1	black	Na5 Ne4 b4	c6a5 c3e4 b5b4	17...Na5! Chasing back the bishop to increase Black’s control over the important d5-square. 17...b4 is met by 18.Ne4= and if ...Nd5, White can trade on d5. 18.Bc2 b4 19.Ne4 Nd5µ The isolated pawn is blocked for the foreseeable future.	Zukertort	Steinitz	USA (13)	1886	Zukertort – Steinitz, USA (13) 1886	33	33
7	priyome	public-education	r4rk1/1b2bppp/ppq1pn2/2ppB3/5P2/1P1BP1N1/P1PPQ1PP/R4RK1 w - - 0 1	white	Nh5 g6 Ng7 Rfc8 Qh5 Kxg7 Qg4 Kh6	g3h5 g7g6 h5g7 f8c8 e2h5 g8g7 h5g4 g7h6	14.Nh5! Exchanging the key defender. 14.f5 g6!² defends quite well. 14...Nxh5 14...Ne8 15.Bxg7! Nxg7 16.Qg4 wins. 14...Rfc8! was the best defensive try, when White can win the h7-pawn but the black king escapes to the centre and the game continues. 15.Bxh7+! 15.Qxh5 f5= 15...Kxh7 16.Qxh5+ Kg8 17.Bxg7!! Kxg7 18.Qg4+ Kh7 19.Rf3 Black has to give up too much material to avoid mate. 19...e5 20.Rh3+ Qh6 21.Rxh6+ Kxh6 22.Qd7! White could have won more slowly, but the double threat ends the game in short order. Why are we seeing a tactical combination in a book of positional exercises? Because classic combinations such as this one should be part of one’s foundational knowledge, which can guide us towards correct positional decisions – in this case, exchanging the defensive knight.	Lasker	Bauer	Amsterdam	1889	Lasker – Bauer, Amsterdam 1889	34	34
8	priyome	public-education	r1bq1rnk/1pp3np/p2p2p1/3Ppp2/2P1P3/2Q2NNP/PPB2PP1/3RR1K1 b - - 0 1	black	f4 Nxe5 dxe5 Nf1 b6 Nd2 a5 a3 g5 c5 h5 Kf1	f5f4 f3e5 d6e5 g3f1 b7b6 f1d2 a6a5 a2a3 g6g5 c4c5 h7h5 g1f1	21...f4! Closing the centre and gaining space. Black prepares to push the g-pawn and launch an attack, using as many pieces as possible on the kingside. After the game continuation 21...fxe4? White gets a nice square on e4. 21...Nf6 22.exf5 gxf5 opens things up for White’s pieces. There is even 23.Nxe5!? dxe5 24.Rxe5 with compensation, as Black is cramped. 22.Nf1 b6 23.N1d2 After 23.b4 a5 24.a3 g5 25.c5 h5µ White’s pieces are not well placed to attack on the queenside. 23...g5 24.Kf1!÷ White should run from the kill zone.	Lasker	Steinitz	St. Petersburg	1895	Lasker – Steinitz, St. Petersburg 1895	35	35
9	priyome	public-education	r1bq1rk1/pp3ppp/2n2n2/2bp4/5B2/2NBPN2/PP3PPP/2RQK2R b K - 0 1	black	d4 exd4 Re8+	d5d4 e3d4 f8e8	10...d4 Following the school book by exchanging the isolated pawn to release the active pieces behind it. 11.exd4 Re8+!³ An irritating intermediate move, forcing White to retreat. There is no need to calculate further. Lasker played 11...Nxd4 with a balanced position	Steinitz	Lasker	St. Petersburg	1895	Steinitz – Lasker, St. Petersburg 1895	35	35
10	priyome	public-education	r1bqk2r/pppp1ppp/2n5/8/2BPn3/2P2N2/P4PPP/R1BQ1RK1 b kq - 0 1	black	d5 Ba3 dxc4 Re1 Qd5 Nd2 Be6	d7d5 c1a3 d5c4 f1e1 d8d5 f3d2 c8e6	9...d5!³ White should not be allowed to gain space with d4-d5. 9...0-0? 10.d5² 10.Ba3? White should play something else, but in that case Black simply castles with a good game. The only downside to Black’s last move would be if White could catch the king in the centre, so this is the only critical move to check. 10...dxc4 11.Re1 Black has several decent moves, so you didn’t need to decide between them before choosing 9...d5. Best is: 11...Qd5 12.Nd2 Be6 Followed by long castling. William Steinitz“ A sacrifice is best refuted by accepting it.”	Steinitz	Lasker	Moscow (3)	1896	Steinitz – Lasker, Moscow (3) 1896	36	36
